Date,Open,High,Low,Last,Close,Volume,Turnover (Lacs)
2017-05-09,552,554,545.05,552.95,552.95,652189,3578.65
2017-05-08,549.95,554.8,546.5,551,551.55,302450,1666.07
2017-05-05,549,554.4,544.15,548.5,549.95,560799,3074.19
2017-05-04,557.6,557.6,548.2,550.35,549.95,1271612,7004.55
2017-05-03,554.6,558.35,553.2,555.6,556.05,798476,4434.18
2017-05-02,558,559,553.8,556.1,555.35,1380964,7673.47
2017-04-28,561.95,561.95,555,556.1,557.45,865584,4822.06
2017-04-27,560,564.8,555.05,563.7,561.7,2343761,13131.1
2017-04-26,549.8,561,545.4,560,556.75,1425158,7845
2017-04-25,556.95,561.6,550.3,551.8,552.95,1543039,8573.35
2017-04-24,565,565.1,553.65,556.95,557.05,1997176,11111.01
2017-04-21,573,574,562.7,565,564.45,1256922,7120.22
2017-04-20,576,577.2,573.3,574.2,574.05,1339006,7699.87
2017-04-19,576,577,572.75,575.95,575.4,1078477,6205.93
2017-04-18,576.5,578.25,573.25,576.4,575.8,1062574,6117.88
2017-04-17,580,580,573.05,577,576.5,487497,2809.42
2017-04-13,580.5,582.95,574.7,578.4,577.25,1038273,5997.23
2017-04-12,575,582,570.65,578.65,579.4,1188457,6834.23
2017-04-11,590,591.65,575.1,580,580.05,2103296,12276.43
2017-04-10,591,594.2,588.25,590.3,589.65,1177737,6950.62
2017-04-07,590.35,593.45,585.15,590.8,590,1958876,11539.4
2017-04-06,591.5,593.65,587.05,590.35,590.3,1436914,8467.6
2017-04-05,600,603.9,590.45,592,593.05,1926049,11442.58
2017-04-03,595.3,595.3,590.1,593,592.65,758083,4489.72
2017-03-31,598,598.9,591,595,592.95,2242680,13293.05
2017-03-30,594.5,600.85,591.8,600.5,598.35,2096305,12490
2017-03-29,595,596.55,591.9,594.95,593.15,1047812,6217.57
2017-03-28,592,596,591.45,594.5,594.15,772698,4589.4
2017-03-27,597,597,590,592.7,592.1,1038435,6149.8
2017-03-24,595,598.25,591.5,594,593.95,930175,5522.45
2017-03-23,595.8,598.2,582.2,594.2,596.25,1555876,9238.12
2017-03-22,588.9,598.45,587.9,595.5,595.2,1018355,6051.1
2017-03-21,598.5,598.5,590.3,591,591.85,861663,5107.62
2017-03-20,597.5,601.5,593.45,596.15,596.3,1027093,6137.87
2017-03-17,604.5,604.5,594.25,597.7,597.3,2189719,13087.32
2017-03-16,605.1,605.9,598.05,601,601.4,852049,5123.6
2017-03-15,602,605.85,598.55,600,600.2,1479366,8888.8
2017-03-14,597,601.5,590.35,600,600.2,1324778,7903.95
2017-03-10,589.2,591.5,587.05,588.9,589.1,558480,3294.5
2017-03-09,588.8,593.45,585.25,587.1,589.2,690612,4070.21
2017-03-08,591.75,593.35,583.05,590,591.85,1055453,6230.26
2017-03-07,591.7,591.7,586.1,588,588.05,475240,2795.97
2017-03-06,592,595,588.2,589.05,590.1,943409,5571.86
2017-03-03,588.95,596.7,585,588.1,588.6,759454,4480.98
2017-03-02,588.3,591.95,586.4,590.25,589.25,1571599,9260.1
2017-03-01,585.7,592.9,584.2,586.25,586.3,808027,4756.91
2017-02-28,587.7,592.8,582.6,583.8,583.7,749802,4390.96
2017-02-27,592,594.9,581.35,585.05,585.25,867683,5091.21
2017-02-23,589.3,594.2,586.05,591,592.4,1263865,7482.2
2017-02-22,592.2,592.9,586,587.35,589.25,942703,5554.02
2017-02-21,591.9,595,588.5,592.9,593.1,712028,4214.78
2017-02-20,593.2,597.75,582,591.8,592.75,1008015,5961.98
2017-02-17,585.9,596.45,580.65,593,593.25,1209276,7151.01
2017-02-16,575,585.4,574.5,584.05,584.6,1156826,6712.45
2017-02-15,577.5,578.65,571.15,574.75,574.25,1441907,8277.37
2017-02-14,582,586.6,574.1,576.2,576.05,816754,4730.36
2017-02-13,582.7,585.4,576.05,581.05,582.65,946922,5498.7
2017-02-10,592,593.75,576.8,579.55,579.95,1485266,8648.32
2017-02-09,611,611.55,584.45,589,587.65,4192748,25060.11
2017-02-08,600,609,597.75,603.9,603.2,2122225,12815.45
2017-02-07,601.8,608,594.6,597.1,597.55,1084820,6521.71
2017-02-06,610.35,621.25,599.1,599.95,601.6,2513820,15303.13
2017-02-03,584.3,611.5,580.4,608.7,607.9,2491068,15032.27
2017-02-02,575,587,567.05,584.7,584.35,1033116,5999
2017-02-01,573,579.25,566.3,575.95,572.15,873328,5003.05
2017-01-31,581.55,583,572.6,574.1,575.35,712955,4129.37
2017-01-30,578.7,584.55,577.15,581.55,582.25,589553,3430.34
2017-01-27,584.7,591.4,579.45,580.1,580.15,622149,3617.39
2017-01-25,581.25,588.85,577.65,584.3,585.65,888914,5185.75
2017-01-24,574.7,581.3,574.1,578.6,579.9,527089,3047.67
2017-01-23,574.45,583.45,573,574.45,575.75,1197343,6903.72
2017-01-20,583.8,592.5,574.4,576.05,577.6,1100568,6432.39
2017-01-19,582.3,587.4,573.35,580.9,580.35,772657,4479.06
2017-01-18,588.8,593.4,577.35,579.75,580.8,591422,3469.93
2017-01-17,590.5,592,581.2,587.5,587.25,737937,4319.31
2017-01-16,577.4,592,577.4,589.9,588.8,634510,3725.59
2017-01-13,587,589.1,579.45,583,583.4,557024,3255.17
2017-01-12,573.95,587.8,567.3,585.15,586.25,1086059,6305.6
2017-01-11,576.95,579,569.5,578,576.95,543706,3123.61
2017-01-10,577.5,582.9,573.6,573.7,574.9,430654,2486.77
2017-01-09,583.55,588.95,574.9,576.75,576.7,545949,3177.26
2017-01-06,580.05,591,577.2,582,582.85,851729,4955.97
2017-01-05,570.2,581.5,569.3,578.75,579.85,919562,5298.04
2017-01-04,572.95,576,567.5,568,568.25,729355,4155.85
2017-01-03,566.8,576.8,562,571.15,573.65,626867,3575.58
2017-01-02,569.75,572.45,563.25,565.25,566,520139,2951.55
2016-12-30,565.6,573.45,565.6,567,568.8,673901,3840.93
2016-12-29,563.1,569,562.75,568.9,564.85,985947,5570.16
2016-12-28,567,572,560.8,563,562.4,743252,4211.43
2016-12-27,559,566.2,555.15,563.05,563.65,1063407,5988.52
2016-12-26,581.3,581.3,548.1,555.3,554.95,2106357,11778.12
2016-12-23,561,589.15,552,581.95,582.3,2585856,14814.93
2016-12-22,562.3,565.95,560,562,561.4,1870565,10496.25
2016-12-21,565,567.4,561.9,562.5,562.8,743830,4195.96
2016-12-20,572.85,573.8,562,564.9,563.1,873053,4943
2016-12-19,565,574.5,561.4,568,569.15,997716,5682.16
2016-12-16,562.9,569.9,561.35,564.1,566.2,665505,3761.52
2016-12-15,568,576.55,559.1,564,563.15,1032429,5845.63
2016-12-14,579,579.65,564.25,568,568,585671,3340.82
2016-12-13,574.1,581.2,570.5,578.5,578.85,553306,3190.39
2016-12-12,576.4,582,572.6,575,574.8,848042,4901.72
2016-12-09,586,586,576.45,576.75,578.9,539344,3128.18
2016-12-08,573.5,583.9,570.2,583,582.75,1177494,6820.17
2016-12-07,577.45,577.6,569.4,572,570.85,694556,3985.94
2016-12-06,575,580.45,570.95,575,574.85,779936,4489.18
2016-12-05,573.5,581.4,571.35,573.1,573,1158108,6673.29
2016-12-02,566,573.9,566,570.8,571.2,984594,5616.56
2016-12-01,567,579.85,566.1,568.75,568.2,1064251,6089.74
2016-11-30,570,573.25,563.5,564.95,566.6,1366319,7754.49
2016-11-29,573,573.95,564.3,569.5,569.15,832424,4737.34
2016-11-28,569.3,577,568.05,572.4,570.55,1224023,7007.99
2016-11-25,557,569.95,548.5,567,565.05,1022658,5746.77
2016-11-24,551.4,558.3,545.05,556.95,553.65,1816603,10039.01
2016-11-23,554.9,559.4,547.15,552,552.8,1520986,8408.41
2016-11-22,547.1,559.35,543.5,550.65,550.5,1300502,7185.83
2016-11-21,550,555.35,542.1,544.5,545.1,1056778,5768.79
2016-11-18,541.2,555.65,541.2,549.3,550.95,1214083,6675.66
2016-11-17,539,549.35,536.1,545,545.7,924167,5040.38
2016-11-16,562,564.85,535.5,536,538.15,1169205,6374.53
2016-11-15,547.6,561.05,528.6,553,552.4,1505372,8206.25
2016-11-11,559.7,564,545.25,547.5,547.95,1232505,6821.71
2016-11-10,545,568,545,567.85,563.7,3982787,22286.22
2016-11-09,512.1,532,486.55,524.6,526.3,3810958,19920.85
2016-11-08,549.7,550.9,530.2,535.45,535.3,1015538,5455.07
2016-11-07,549.5,555.75,544,545.55,545.75,939497,5157.92
2016-11-04,556.1,565.5,538,544,544.7,1517311,8349.9
2016-11-03,556,563.8,556,560.65,560,701598,3929.65
2016-11-02,569.95,569.95,557.55,558.55,560.1,806345,4542.95
2016-11-01,579.45,579.45,570.1,570.5,571.75,880843,5049.54
2016-10-30,578.65,580.6,575.4,577.25,578.75,104038,601.74
2016-10-28,585.5,586.85,573.7,575,575.15,911117,5259.23
2016-10-27,578,588,570.5,582.3,585.75,779140,4537.64
2016-10-26,583,584.9,575.15,578.05,577.65,814132,4722.04
2016-10-25,586,594.5,582.7,584,584.5,831989,4885.75
2016-10-24,585,594.4,582,586,584.7,992033,5817.6
2016-10-21,597.5,597.5,570,584.1,583.25,1792780,10395.75
2016-10-20,596.5,600.5,593.8,596.05,596.6,913371,5449.97
2016-10-19,591.2,598.8,591.2,596.35,596.35,1001409,5968.64
2016-10-18,587,594,582.25,591,592.75,1213156,7150.2
2016-10-17,589,592.05,583.65,586.5,586,1344977,7897.21
2016-10-14,584.75,590,583,588,587,1054501,6195.82
2016-10-13,596.95,599,580.5,583,582,3834775,22554.37
2016-10-10,570.25,584.4,570.25,581.4,580.65,929998,5396.41
2016-10-07,578.85,583.4,566.5,572,570.05,1317543,7537.75
2016-10-06,592.5,596.8,576.85,578,578.8,1504743,8815.82
2016-10-05,600,600.15,590,590.5,591.65,961556,5713.95
2016-10-04,590.3,603.85,590.3,599.35,597.8,1656807,9880.85
2016-10-03,584.7,591.7,582.2,590.5,588.85,1146677,6729.01
2016-09-30,601.85,603.9,562.25,579.7,580.05,6967821,40393.04
2016-09-29,608,611,585.75,604,602.85,2252434,13523.47
2016-09-28,608.7,612.4,602.25,606.5,605.8,1561039,9468.69
2016-09-27,604,610.3,601.85,606.45,607.2,1443938,8776.82
2016-09-26,609,615,603,607.5,604.5,1796225,10917.2
2016-09-23,609,617.8,604.7,611.05,611.55,1225528,7515.77
2016-09-22,605,610.95,603.9,609.4,609.1,1926725,11715.26
2016-09-21,602.85,607,597.1,600.6,601.35,1578461,9500.98
2016-09-20,598.7,607.5,596,602.15,602.85,2209606,13317.58
2016-09-19,594.9,600,593.25,597.5,597.8,1213754,7247.22
2016-09-16,587.1,596,586.1,592.75,593.55,2145891,12692.17
2016-09-15,579,591,576.85,585.95,585.4,1294197,7593.39
2016-09-14,570,583.7,569.8,579,577.5,1579482,9132.41
2016-09-12,572.2,579.2,562.3,570.5,570.1,1296182,7435.11
2016-09-09,595.1,595.6,578,581.45,580.5,1513978,8870.51
2016-09-08,581.2,598.4,581.2,594.5,595.15,1573263,9298.11
2016-09-07,580.05,585.95,575.1,582.05,580.75,1786522,10396.31
2016-09-06,585,586.3,576,578.15,578.6,1189215,6884.75
2016-09-02,580.3,581.1,571.5,578,577.95,880437,5067.67
2016-09-01,575,581.3,571,578,579.15,960422,5533.45
2016-08-31,581.05,587.5,570,574.55,572.95,3596264,20773.6
2016-08-30,570,581.45,567.7,580.3,576.1,1075723,6159.93
2016-08-29,568.3,570.35,562.9,569.3,568,1085860,6138.7
